praemium	premium
sodalicyi	sodalicji
komisyia	komisja
kondycye	kondycje
a-aby	aby
ba-ankructwa	bankructwa
bra-ałem	brałem
bra-at	brat
chwi-ileczkę	chwileczkę
co-oś	coś
có-óż	cóż
cza-asami	czasami
cza-asu	czasu
dzie-eje	dzieje
gło-owa	głowa
gło-ową	głową
gra-andet	grandet
i-interesy	interesy
ja-a	ja
ja-ak	jak
ja-akichś	jakichś
ka-atastrofa	katastrofa
każdej-ej	każdej
ko-ocha	kocha
ko-ocham	kocham
ko-osztuje	kosztuje
kre-ewny	krewny
któ-órych	których
li-ikwidatorów	likwidatorów
likwida-acja	likwidacja
me-ego	mego
mo-ogę	mogę
mó-ój	mój
mó-ówi	mówi
mo-ożna	można
mu-usi	musi
mu-uszę	muszę
na-aznaczcie	naznaczcie
na-azywa	nazywa
natra-ajlował	natrajlował
nie-e	nie
ni-ic	nic
ni-igdy	nigdy
ni-iż	niż
opu-uścić	opuścić
pa-an	pan
pa-anowie	panowie
pe-ęka	pęka
pe-ewne	pewne
pie-eniędzy	pieniędzy
pie-erwszy	pierwszy
pi-ilne	pilne
pi-ilnować	pilnować
po-ostanowi	postanowi
po-owiadał	powiadał
powia-ada	powiada
powstrzyma-ać	powstrzymać
prze-edewszy-ystkim	przedewszystkim
prze-ez	przez
przy-yjąwszy	przyjąwszy
ra-azie	razie
ro-odzaju	rodzaju
ro-o-ozumiem	rozumiem
ró-óżnica	różnica
ro-ozważyć	rozważyć
rozu-umiem	rozumiem
rozu-u-umiem	rozumiem
są-ą	są
sie-edzieć	siedzieć
słu-ucham	słucham
sły-yszałem	słyszałem
so-ądy	sądy
spra-awy	sprawy
sprze-edał	sprzedał
sta-ary	stary
swe-ego	swego
swó-ój	swój
ta-ak	tak
to-o	to
tru-udne	trudne
trze-eba	trzeba
trzy-ymają	trzymają
wa-ażne	ważne
we-eksli	weksli
wiado-ome	wiadome
widzi-icie	widzicie
wię-ęc	więc
wie-ele	wiele
wie-elka	wielka
wi-iniarz	winiarz
wi-ino	wino
wszy-ystkiego	wszystkiego
wszy-ystko	wszystko
za-amiary	zamiary
za-anim	zanim
zbo-oże	zboże
zbo-ożem	zbożem
zo-obaczy	zobaczy
zo-obaczymy	zobaczymy
jesli	jeśli
jeslim	jeślim
jesliś	jeśliś
spiewa	śpiewa
spiewam	śpiewam
spiewać	śpiewać
zaspiewamy	zaśpiewamy
wielkiem	wielkim
oficja-alnie	oficjalnie
zda-ania	zdania
spra-awna	sprawna
przedmio-otem	przedmiotem
