perliminaria	pɛr.lʲi.mʲiˈnarʲ.ja
Natoria	naˈtɔrʲ.ja
martimonio	mar.tiˈmɔ.ɲɔ
hollinsa	xɔlˈlʲin.sa
abernuntio	a.bɛr.nunˈti.ɔ
aksolot	akˈsɔ.lɔt
Alcybidesa	Alt͡sɨ.bʲiˈdɛ.sa
agryst	ˈa.ɡrɨst
Korel	Kˈɔ.rɛl
suberterek	su.bɛrˈtɛ.rɛk
błogadorie	bwɔ.ɡaˈdɔrʲ.jɛ
celegielów	t͡sɛ.lɛˈɡʲɛ.luf
wrasnął	ˈvras.nɔw
zaświaczysz	zaɕˈfʲa.t͡ʂɨʂ
kinka	ˈkʲin.ka
trifolanti	trʲi.fɔˈlan.ti
rędegocik	rɛn.dɛˈɡɔ.t͡ɕik
gabiną	ɡaˈbʲi.nɔ̃
golzan	ˈɡɔl.zan
heliogabla	xɛ.lʲɔˈɡab.la
sanguszówki	sanˈɡu.ʂufˈkʲ.i
probieły	prɔˈbʲɛ.wɨ
urabaj	uˈra.baj
notis	ˈnɔ.tis
fajumu	faˈju.mu
gobina	ɡɔˈbʲi.na
tikado	tiˈka.dɔ
śródkamiczny	ɕrut.kaˈmʲit͡ʂ.nɨ
zganalerowi	zɡa.naˈlɛ.rɔˈvʲ.i
trenadierów	trɛ.na.diˈɛ.ruf
zabusla	zaˈbus.la
kreburg	ˈkrɛ.burk
kczelnej	ˈkt͡ʂɛl.nɛj
bustwo	ˈbu.stfɔ
podskarmakiem	pɔt.skarˈma.kʲɛm
